player,MPG,PTS,TPM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Bol Bol,17.6,6.3,0.4,4.2,0.7,0.3,0.8,1.1,2.5,4.7,0.8,1.1
Jordan Goodwin,16.1,5.9,0.7,2.8,2.5,0.8,0.4,0.8,2.3,5.1,0.8,1.0
Xavier Tillman Sr.,16.9,6.2,0.1,4.2,1.4,1.0,0.4,0.7,2.6,4.7,0.9,1.5
Davion Mitchell,19.7,6.8,0.9,1.6,2.7,0.6,0.2,1.0,2.7,6.2,0.4,0.5
Jalen Smith,14.7,7.9,0.7,5.2,0.8,0.3,0.7,0.9,3.1,6.5,1.3,1.8
Alec Burks,18.7,9.9,1.6,3.0,2.0,0.7,0.2,1.0,3.1,7.4,2.2,2.7
Torrey Craig,19.5,6.3,1.0,4.2,1.2,0.6,0.6,0.8,2.4,5.3,0.4,0.6
Isaac Okoro,22.9,6.5,0.8,2.3,1.1,0.7,0.3,0.6,2.3,4.8,1.1,1.5
Gradey Dick,17.8,8.5,1.6,2.3,1.0,0.6,0.1,0.7,3.2,7.5,1.3,1.6
Dario Saric,17.1,8.1,0.9,4.1,1.5,0.5,0.2,1.1,2.7,6.0,1.4,1.7
Moritz Wagner,17.1,9.7,0.9,4.2,1.4,0.5,0.2,1.1,3.4,6.7,2.3,2.8
Aaron Nesmith,18.4,6.8,1.1,2.6,0.9,0.6,0.3,0.7,2.2,5.3,1.1,1.3
Cam Reddish,20.8,9.1,1.1,2.2,1.2,0.9,0.3,1.1,3.3,7.6,1.6,1.9
Killian Hayes,19.9,6.5,0.7,2.4,4.2,0.9,0.3,1.5,2.5,6.8,0.8,1.0
Nickeil Alexander-Walker,19.6,8.1,1.3,2.3,2.0,0.7,0.4,1.1,2.9,7.2,0.9,1.2
Robert Covington,16.8,5.6,1.1,3.3,1.0,0.8,0.7,0.6,2.0,4.5,0.6,0.7
Precious Achiuwa,18.3,8.2,0.6,5.2,0.8,0.5,0.5,1.0,3.3,6.9,1.2,1.9
Kris Dunn,17.8,8.7,0.4,3.2,4.2,0.9,0.3,1.3,3.6,7.6,1.5,1.8
Mo Bamba,14.2,5.5,0.7,4.4,0.6,0.2,0.8,0.6,2.0,4.2,0.6,1.0
Troy Brown Jr.,19.5,6.0,1.1,3.8,1.2,0.7,0.2,0.6,2.3,5.4,0.4,0.5
Naji Marshall,19.8,8.0,0.8,3.0,2.0,0.6,0.2,1.1,3.0,6.9,1.7,2.1
Moses Moody,18.0,6.4,1.0,2.1,0.8,0.4,0.2,0.6,2.2,4.8,0.7,1.0
Andrew Nembhard,26.6,9.8,1.2,2.7,4.4,0.9,0.2,1.7,4.0,8.8,0.7,0.9
Cody Martin,22.7,6.5,0.7,3.4,1.9,0.9,0.3,0.7,2.4,5.4,0.8,1.3
Josh Green,27.6,9.6,1.2,3.5,2.0,0.8,0.2,1.3,3.6,7.0,1.3,1.7
Shake Milton,20.9,8.5,0.8,2.5,3.0,0.4,0.2,1.2,3.3,6.8,1.2,1.4
Georges Niang,19.2,8.0,1.9,2.4,1.0,0.4,0.2,0.7,2.8,6.4,0.5,0.6
Nick Richards,19.7,8.2,0.0,6.3,0.7,0.3,1.1,1.0,3.3,5.2,2.1,2.9
Damion Lee,19.9,7.6,1.3,2.9,1.1,0.4,0.1,0.8,2.6,6.0,1.1,1.2
Taurean Prince,17.9,8.0,1.3,2.5,1.3,0.6,0.3,1.1,2.9,6.3,1.0,1.3
Jordan Hawkins,15.9,6.6,1.4,1.4,0.9,0.4,0.1,0.5,2.4,5.6,0.9,1.1
Malaki Branham,25.2,11.2,1.3,2.9,2.1,0.6,0.1,1.3,4.5,10.3,1.0,1.3
Trey Lyles,15.6,7.1,0.9,3.8,0.8,0.3,0.3,0.8,2.5,5.4,1.4,1.8
Isaiah Livers,19.3,5.8,1.2,2.3,0.8,0.5,0.4,0.6,2.0,4.6,0.5,0.7
Orlando Robinson,16.4,4.6,0.0,4.7,0.9,0.5,0.5,0.6,1.9,3.6,0.9,1.2
Dwight Powell,19.1,6.7,0.1,4.3,0.9,0.5,0.4,0.8,2.4,3.6,1.5,2.2
Day'Ron Sharpe,11.1,5.0,0.1,4.1,0.7,0.3,0.6,0.9,2.2,3.9,0.7,1.2
Otto Porter Jr.,15.9,5.3,0.8,3.2,1.0,0.7,0.2,0.4,1.9,4.1,0.6,0.7
David Roddy,19.2,7.2,1.0,2.7,0.9,0.5,0.3,0.9,2.8,6.4,0.6,1.0
Christian Braun,24.3,7.2,0.8,3.4,1.2,0.8,0.3,0.8,2.8,5.5,0.9,1.3
Darius Bazley,13.7,5.0,0.5,2.9,0.8,0.4,0.6,0.6,1.9,4.2,0.7,1.2
Corey Kispert,28.1,11.7,2.3,3.1,1.3,0.5,0.2,0.8,4.1,8.2,1.3,1.5
Chuma Okeke,17.0,4.9,0.9,3.3,1.2,0.7,0.4,0.5,1.7,4.6,0.6,0.7
Keyonte George,20.6,10.2,1.3,2.1,2.2,0.5,0.2,1.5,4.9,11.6,1.8,2.2
Duncan Robinson,20.9,8.8,2.1,2.2,1.3,0.5,0.1,0.8,2.9,7.2,0.8,1.0
Reggie Bullock,24.5,7.5,1.9,3.2,1.2,0.6,0.2,0.5,2.6,6.3,0.5,0.6
Drew Eubanks,17.3,6.2,0.1,4.9,0.9,0.4,1.0,0.8,2.4,4.0,1.1,1.5
Devonte' Graham,17.3,7.2,1.6,1.7,2.6,0.6,0.2,0.8,2.3,6.2,1.1,1.4
Trendon Watford,15.1,6.1,0.3,3.3,1.5,0.4,0.2,0.9,2.4,4.5,1.0,1.4
Jarace Walker,22.6,8.3,0.6,5.0,1.0,0.4,0.7,1.1,3.5,7.9,1.4,2.1
AJ Griffin,21.2,9.7,1.5,2.3,1.2,0.6,0.2,0.7,3.7,7.9,0.7,0.9
Ziaire Williams,17.0,6.5,0.9,2.0,1.0,0.4,0.1,0.8,2.6,5.8,0.6,0.7
Jaden Hardy,19.0,10.3,1.5,2.1,1.7,0.5,0.2,1.2,3.5,8.0,1.6,1.9
Danilo Gallinari,17.4,8.2,1.3,3.0,1.1,0.4,0.2,0.5,2.5,5.7,1.4,1.5
P.J. Tucker,25.7,4.6,0.9,4.4,1.2,0.6,0.2,0.7,1.7,3.7,0.4,0.5
Justin Holiday,17.0,5.5,1.3,1.6,1.0,0.5,0.4,0.5,1.9,5.0,0.3,0.4
Cory Joseph,18.1,5.8,0.8,1.6,2.7,0.5,0.1,1.0,2.0,4.5,1.0,1.1
Dereck Lively II,11.9,4.3,0.0,4.3,0.8,0.4,0.8,0.5,2.0,3.2,0.5,0.8
Jock Landale,13.2,6.0,0.4,3.6,0.9,0.2,0.4,0.8,2.4,4.7,1.0,1.3
Gary Payton II,19.1,6.8,0.7,3.5,1.2,1.2,0.3,0.8,2.8,4.7,0.5,0.8
Cason Wallace,13.9,6.3,0.7,1.4,2.2,0.6,0.2,1.0,2.9,6.6,0.9,1.1
Josh Minott,10.3,4.9,0.3,2.9,0.5,0.4,0.6,0.4,1.9,4.0,0.8,1.0
Malachi Flynn,13.6,4.9,0.8,1.6,1.7,0.5,0.1,0.5,1.8,4.7,0.5,0.7
Danny Green,14.2,4.5,1.1,1.8,0.8,0.7,0.4,0.6,1.4,3.6,0.1,0.2
Dyson Daniels,19.5,4.5,0.5,3.4,2.6,0.9,0.2,1.1,1.7,4.0,0.6,0.8
Christian Koloko,13.4,3.2,0.0,2.9,0.5,0.4,1.0,0.4,1.3,2.8,0.7,1.1
Joe Harris,19.9,8.2,1.9,2.2,1.2,0.4,0.2,0.6,3.0,6.2,0.3,0.5
Ochai Agbaji,24.0,9.4,1.7,2.3,1.4,0.4,0.3,0.9,3.2,7.2,1.2,1.4
Dean Wade,17.7,4.5,0.9,2.6,0.9,0.6,0.3,0.3,1.7,3.9,0.3,0.5
MarJon Beauchamp,20.1,7.5,1.3,3.2,1.0,0.7,0.2,1.3,3.0,7.3,0.9,1.2
Thaddeus Young,12.4,4.4,0.2,2.9,1.4,0.8,0.4,0.9,2.0,3.7,0.4,0.6
Johnny Davis,18.3,7.6,0.9,2.8,1.2,0.4,0.3,0.7,3.1,7.6,0.8,1.2
Omer Yurtseven,9.9,4.3,0.0,3.9,0.6,0.2,0.3,0.6,1.9,3.5,0.6,0.9
Nikola Jovic,17.5,7.4,0.8,2.5,0.8,0.6,0.2,0.8,2.5,6.0,1.6,1.7
Doug McDermott,18.0,9.0,1.6,2.0,1.2,0.2,0.1,0.8,3.4,7.2,0.7,0.9
Jordan McLaughlin,14.2,3.6,0.5,1.6,3.0,0.8,0.1,0.7,1.4,3.2,0.4,0.5
Zeke Nnaji,15.5,6.0,0.6,3.2,0.4,0.4,0.4,0.6,2.4,4.4,0.9,1.5
Patty Mills,11.4,4.8,1.0,1.1,1.0,0.3,0.1,0.5,1.7,4.1,0.4,0.5
DeAndre Jordan,12.6,4.2,0.0,4.7,0.7,0.2,0.6,0.9,2.0,2.7,0.5,1.0
Jaxson Hayes,14.3,5.8,0.2,3.3,0.7,0.4,0.6,0.7,2.1,3.5,1.3,1.8
Saben Lee,12.7,4.7,0.4,1.9,2.4,0.7,0.1,0.8,1.6,4.0,1.4,1.8
Nerlens Noel,14.7,2.9,0.0,3.9,0.6,0.7,0.8,0.7,1.2,2.3,0.5,0.8
Jett Howard,14.2,6.6,1.5,1.5,0.9,0.5,0.1,0.5,2.6,6.1,1.0,1.2
Mike Muscala,13.2,6.2,1.2,3.0,0.7,0.3,0.4,0.4,2.0,4.5,0.7,0.9
Ish Wainright,14.2,4.0,0.9,2.2,0.8,0.7,0.3,0.4,1.4,3.8,0.4,0.5
Ricky Rubio,18.6,7.1,0.9,2.5,4.1,0.9,0.1,1.4,2.5,6.9,1.4,1.7
Leonard Miller,13.0,5.9,0.5,3.2,1.0,0.3,0.3,0.7,2.8,6.0,1.2,1.7
Jake LaRavia,16.7,4.8,1.0,2.3,0.9,0.5,0.2,0.7,1.7,3.9,0.3,0.4
Landry Shamet,16.2,6.7,1.5,1.5,1.5,0.4,0.1,0.6,2.2,5.7,0.8,1.0
Danuel House Jr.,16.8,5.8,0.9,2.2,1.0,0.4,0.3,0.6,1.9,4.3,1.0,1.3
Damian Jones,12.5,4.3,0.2,3.2,0.6,0.3,0.6,0.7,1.6,2.6,0.8,1.1
Usman Garuba,11.5,2.6,0.3,3.7,0.8,0.6,0.4,0.6,1.0,2.1,0.4,0.6
Haywood Highsmith,18.2,4.7,0.8,3.1,0.8,0.6,0.3,0.8,1.8,4.3,0.3,0.5
Kris Murray,15.6,6.3,0.7,2.3,0.9,0.5,0.4,0.6,2.1,4.7,1.8,2.4
Derrick Jones Jr.,12.6,4.4,0.4,2.7,0.5,0.5,0.5,0.4,1.5,2.9,0.8,1.1
Daniel Theis,11.4,4.6,0.4,3.1,0.7,0.3,0.4,0.6,1.9,3.6,0.6,0.9
Josh Okogie,23.7,8.3,1.0,4.3,1.6,1.0,0.6,1.1,2.7,6.7,2.3,3.2
Olivier-Maxence Prosper,13.5,5.9,0.5,2.2,0.6,0.5,0.2,0.5,3.0,6.8,0.7,1.0
Julian Champagnie,17.3,10.2,2.0,3.6,0.7,0.4,0.3,0.7,3.9,8.6,0.9,1.1
Chimezie Metu,10.4,4.5,0.4,2.9,0.5,0.4,0.3,0.5,1.8,3.6,0.7,0.9
Jeremiah Robinson-Earl,14.9,5.2,0.7,3.7,0.7,0.4,0.2,0.4,2.0,4.7,0.7,0.8
Luke Kornet,9.4,3.1,0.1,2.5,0.7,0.2,0.5,0.3,1.3,2.1,0.4,0.5
Trayce Jackson-Davis,9.4,3.8,0.1,2.0,1.1,0.2,0.2,0.6,1.5,2.7,0.8,1.2
Bruno Fernando,10.0,4.2,0.0,3.5,0.7,0.1,0.8,0.7,1.6,2.8,0.8,1.2
Derrick Rose,14.8,7.8,0.9,2.0,2.7,0.5,0.3,1.1,3.1,7.0,0.8,1.0
JaVale McGee,10.0,5.1,0.0,3.4,0.4,0.2,0.6,0.9,2.1,3.5,0.7,1.1
Jeff Green,15.7,6.3,0.5,2.2,0.9,0.3,0.2,0.6,2.3,4.6,1.3,1.7
Bilal Coulibaly,16.5,6.4,0.5,2.6,1.3,0.5,0.2,1.0,3.0,7.0,1.8,2.5
Sam Hauser,18.1,7.2,2.0,2.8,1.1,0.4,0.3,0.5,2.6,5.6,0.3,0.3
Cedi Osman,15.3,7.7,1.4,2.1,1.5,0.5,0.1,0.7,2.8,6.4,1.0,1.4
Kira Lewis Jr.,11.4,4.9,0.6,1.5,1.4,0.5,0.1,0.7,1.9,4.6,0.6,0.7
Jalen Hood-Schifino,12.4,5.7,0.8,1.2,2.4,0.4,0.2,1.0,2.3,5.7,1.1,1.4
Aaron Wiggins,13.4,5.4,0.6,2.9,0.9,0.5,0.1,0.6,2.2,4.6,0.8,1.0
Jaylin Williams,18.6,5.8,0.9,4.9,1.5,0.6,0.3,0.8,2.1,4.8,0.8,1.1
Aleksandar Vezenkov,17.7,6.7,1.2,2.3,1.0,0.4,0.2,0.6,2.0,4.6,0.4,0.6
Jaime Jaquez Jr.,17.9,6.8,0.5,2.5,1.3,0.6,0.2,0.8,2.7,6.0,1.5,1.9
Garrison Mathews,15.1,5.7,1.3,1.6,0.5,0.5,0.1,0.4,1.6,4.2,1.3,1.6
Isaiah Mobley,9.7,3.7,0.4,2.7,0.4,0.5,0.4,0.2,1.5,3.4,0.5,0.7
Kai Jones,9.7,2.8,0.1,2.1,0.3,0.3,0.6,0.6,1.3,2.3,0.4,0.6
Oshae Brissett,18.0,6.7,0.9,3.6,0.7,0.5,0.2,0.6,2.2,5.5,1.7,2.4
Kobe Brown,9.0,4.5,0.7,1.5,0.4,0.3,0.2,0.3,2.2,4.9,0.5,0.7
Dalen Terry,10.3,4.1,0.4,1.7,1.1,0.6,0.3,0.4,1.6,3.6,0.7,1.0
Jericho Sims,10.5,2.2,0.0,4.1,0.4,0.2,0.4,0.4,1.0,1.3,0.2,0.4
Cam Whitmore,13.2,6.6,1.0,2.4,0.4,0.4,0.1,0.8,2.9,6.2,0.9,1.3
Goga Bitadze,9.5,3.9,0.2,2.6,0.8,0.3,0.6,0.6,1.4,2.7,0.6,1.0
Micah Potter,7.8,3.3,0.3,3.0,0.4,0.2,0.1,0.3,1.5,2.7,0.2,0.3
Aaron Holiday,10.9,3.6,0.5,1.2,1.3,0.5,0.2,0.6,1.4,3.2,0.5,0.6
Payton Pritchard,16.6,7.0,1.6,2.0,2.0,0.4,0.1,0.9,2.6,6.2,0.3,0.4
Noah Clowney,7.9,3.2,0.3,1.7,0.5,0.2,0.2,0.4,1.6,3.2,0.7,1.0
Robin Lopez,11.6,4.7,0.1,2.3,0.9,0.1,0.4,0.9,2.0,3.4,0.6,0.9
Ty Jerome,11.4,4.8,0.7,1.3,1.8,0.4,0.1,0.5,1.6,3.7,0.5,0.6
Udoka Azubuike,8.4,3.1,0.0,2.9,0.2,0.1,0.4,0.5,1.5,1.9,0.2,0.5
Hunter Tyson,10.2,4.5,0.8,1.3,0.4,0.2,0.2,0.4,2.1,4.7,0.5,0.6
Yuta Watanabe,16.0,5.4,1.1,3.0,0.9,0.5,0.4,0.5,1.9,4.2,0.7,1.0
Montrezl Harrell,12.6,5.1,0.0,2.4,0.7,0.2,0.3,0.5,1.8,2.9,1.0,1.5
Jordan Walsh,12.1,4.7,0.5,1.3,1.0,0.4,0.1,0.9,2.3,5.4,1.1,1.5
James Bouknight,14.4,5.7,0.9,2.1,1.2,0.4,0.1,0.8,2.1,5.9,0.8,1.1
Frank Ntilikina,13.0,3.8,0.5,1.3,1.3,0.4,0.1,0.7,1.3,3.5,0.5,0.6
Kessler Edwards,11.3,3.3,0.5,1.9,0.5,0.4,0.2,0.5,1.2,2.9,0.2,0.3
Furkan Korkmaz,13.1,5.0,0.8,1.6,1.1,0.4,0.1,0.6,1.8,4.5,0.8,1.0
Brice Sensabaugh,8.6,3.8,0.6,1.2,0.4,0.2,0.1,0.3,1.7,3.8,0.4,0.6
Neemias Queta,10.4,4.0,0.0,2.9,0.5,0.1,0.7,0.5,1.6,3.3,0.8,1.3
Patrick Baldwin Jr.,9.0,4.5,1.2,1.8,0.5,0.3,0.2,0.5,1.6,4.1,0.2,0.2
Ousmane Dieng,17.7,6.3,0.8,2.9,1.4,0.5,0.2,0.8,2.5,5.9,0.5,0.7
Jabari Walker,12.3,4.4,0.4,2.3,0.6,0.2,0.2,0.6,1.7,3.7,0.6,0.8
Emoni Bates,9.4,3.8,0.7,1.4,0.4,0.2,0.2,0.4,1.8,4.5,0.5,0.6
Bryce McGowens,16.9,5.8,0.7,2.1,1.2,0.3,0.1,1.0,1.8,4.4,1.3,1.8
Kobe Bufkin,10.3,3.5,0.2,0.6,0.7,0.2,0.2,0.4,1.5,3.2,1.2,1.5
Peyton Watson,15.9,6.4,0.5,2.9,0.9,0.3,0.8,0.7,2.5,5.1,1.0,1.7
Alex Len,9.3,3.2,0.1,2.5,0.6,0.2,0.5,0.6,1.2,2.2,0.6,0.9
Julian Strawther,10.2,4.4,0.8,1.3,0.5,0.3,0.1,0.3,1.7,3.9,0.4,0.6
Tre Mann,11.2,4.9,0.9,1.6,1.0,0.4,0.1,0.7,1.8,4.3,0.4,0.5
Keon Johnson,11.6,4.8,0.7,1.2,1.6,0.5,0.2,1.0,1.5,4.3,0.7,0.9
Wesley Matthews,13.0,3.1,0.7,1.7,0.6,0.3,0.2,0.3,1.0,2.6,0.3,0.4
Nick Smith Jr.,9.0,3.4,0.5,0.9,0.8,0.2,0.1,0.4,1.5,3.5,0.4,0.6
Simone Fontecchio,12.8,5.3,1.0,1.5,0.7,0.3,0.1,0.6,1.9,5.1,0.6,0.7
Brandin Podziemski,10.4,3.6,0.4,0.9,0.9,0.2,0.1,0.5,1.5,3.3,1.0,1.4
AJ Green,8.4,3.8,1.1,1.1,0.5,0.2,0.0,0.2,1.3,3.1,0.1,0.1
Marcus Sasser,8.8,3.0,0.4,0.5,0.5,0.2,0.0,0.4,0.8,1.9,0.3,0.4
Admiral Schofield,10.4,3.9,0.8,2.0,0.7,0.2,0.1,0.5,1.2,2.8,0.4,0.4
Kenneth Lofton Jr.,10.3,6.7,0.4,3.1,1.1,0.3,0.2,0.7,2.8,5.4,0.9,1.6
Dalano Banton,9.3,3.3,0.3,1.5,1.4,0.5,0.2,0.7,1.2,2.9,0.4,0.6
Rayan Rupert,8.2,2.8,0.3,0.8,0.8,0.3,0.2,0.5,1.3,3.2,0.6,0.8
Jay Huff,5.4,2.4,0.3,1.2,0.5,0.2,0.2,0.3,0.6,1.1,0.6,0.6
JD Davison,8.5,2.7,0.3,1.3,1.4,0.3,0.3,0.6,1.0,2.5,0.1,0.3
Jalen Pickett,7.1,2.1,0.3,0.5,0.6,0.2,0.1,0.3,0.9,1.9,0.3,0.4
A.J. Lawson,7.6,4.1,0.7,2.0,0.2,0.2,0.1,0.3,1.5,3.0,0.4,0.6
Dante Exum,11.1,3.3,0.2,0.9,1.2,0.4,0.1,0.7,1.3,3.2,0.5,0.7
Dariq Whitehead,7.2,1.9,0.3,0.4,0.4,0.1,0.0,0.3,0.8,1.9,0.3,0.4
Anthony Gill,9.5,3.3,0.2,1.8,0.5,0.1,0.2,0.3,1.0,1.9,0.7,0.9
Ibou Badji,10.4,2.9,0.0,2.7,0.9,0.3,0.5,0.7,1.1,3.0,0.8,1.3
Miles McBride,10.5,3.1,0.6,1.2,1.0,0.5,0.1,0.3,1.0,3.0,0.3,0.5
Andre Jackson,7.6,2.1,0.2,0.5,0.7,0.2,0.1,0.3,0.9,2.0,0.4,0.5
Kevon Harris,9.1,2.9,0.4,2.1,0.4,0.4,0.1,0.4,0.9,2.0,0.6,0.8
Sam Merrill,8.8,3.8,0.9,1.4,0.8,0.3,0.1,0.3,1.2,3.4,0.3,0.4
Thanasis Antetokounmpo,8.9,2.9,0.1,1.8,0.5,0.2,0.2,0.5,1.1,2.2,0.5,0.9
Caleb Houstan,10.8,2.8,0.7,1.5,0.5,0.2,0.1,0.3,0.9,2.4,0.2,0.2
Cody Zeller,9.7,4.1,0.0,3.0,0.6,0.2,0.3,0.6,1.3,2.2,0.9,1.3
Braxton Key,4.4,1.8,0.1,1.1,0.2,0.2,0.2,0.2,0.7,1.6,0.2,0.3
Terry Taylor,6.4,2.5,0.1,1.6,0.4,0.2,0.1,0.3,0.9,1.5,0.2,0.3
Jordan Nwora,7.9,4.8,0.7,2.1,0.7,0.2,0.2,0.6,1.7,4.1,0.7,0.9
Blake Wesley,10.5,3.1,0.4,1.2,1.5,0.4,0.1,1.0,0.9,2.7,0.3,0.6
Max Christie,21.7,6.7,1.3,3.3,1.2,0.6,0.4,1.0,2.6,6.0,0.7,0.9
